avg_cost,n,minor,major,color_code
1177.525516,886,Anesthesia,Anesthesia labs and medication supplies,#1b75bc
186.049876,203,Arterial blood gases,Diagnostic Procedures,#c456a0
173.783248,59,Arthrocentesis,Musculoskeletal System,#fece34
639.380061,35,Biopsy of liver,Digestive System,#e44145
1053.633161,102,Colonoscopy and biopsy,Digestive System,#e44145
350.774895,16,Control of epistaxis,Nose Mouth and Pharynx,#e4ae01
416.954073,109,Debridement of wound infection or burn,Integumentary System,#7bc143
197.366416,773,Diagnostic ultrasound of abdomen or retroperitoneum,Diagnostic Procedures,#c456a0
583.966428,28,Endoscopy and endoscopic biopsy of the urinary tract,Urinary System,#eb7408
863.804248,19,Esophageal dilatation,Digestive System,#e44145
228.338695,99,Hemodialysis,Cardiovascular System,#c3cacb
605.162906,205,Incision of pleura thoracentesis chest drainage,Respiratory System,#14588d
878.595952,28,Injection or ligation of esophageal varices,Digestive System,#e44145
1278.360000,18,Insertion revision replacement removal of cardiac pacemaker or cardioverter/defibrillator,Cardiovascular System,#c3cacb
77.938539,16270,Laboratory - Chemistry and Hematology,Anesthesia labs and medication supplies,#1b75bc
205.788476,1194,Other diagnostic ultrasound,Diagnostic Procedures,#c456a0
979.704583,32,Other fracture and dislocation procedure,Musculoskeletal System,#fece34
1165.250000,10,Other hernia repair,Digestive System,#e44145
520.227314,18,Other intraocular therapeutic procedures,Eye,#9d377b
538.192121,33,Other non-OR or closed therapeutic nervous system procedures,Nervous System,#31849a
300.945980,17,Other non-OR therapeutic procedures of urinary tract,Urinary System,#eb7408
88.483052,178,Other non-OR therapeutic procedures on skin and breast,Integumentary System,#7bc143
1894.473684,19,Other OR upper GI therapeutic procedures,Digestive System,#e44145
126.776303,124,Other physical therapy and rehabilitation,Evaluation and Therapeutic Procedures,#4aabc5
1183.406956,23,Other therapeutic procedures on eyelids conjunctiva cornea,Eye,#9d377b
725.479114,924,Other vascular catheterization not heart,Cardiovascular System,#c3cacb
1602.614140,19,Skin graft,Integumentary System,#7bc143
1652.411086,23,Amputation of lower extremity,Musculoskeletal System,#fece34
152.937261,84,Cardiac stress tests,Diagnostic Procedures,#c456a0
380.287804,1085,Computerized axial tomography (CT) scan head,Diagnostic Procedures,#c456a0
1406.752230,133,Diagnostic cardiac catheterization coronary arteriography,Cardiovascular System,#c3cacb
290.030043,76,Diagnostic procedures on nose mouth and pharynx,Nose Mouth and Pharynx,#e4ae01
87.443923,2792,Electrocardiogram,Diagnostic Procedures,#c456a0
771.044685,69,Endoscopic retrograde cannulation of pancreas (ERCP),Digestive System,#e44145
943.955382,61,Gastrostomy temporary and permanent,Digestive System,#e44145
491.189227,41,Incision and drainage skin and subcutaneous tissue,Integumentary System,#7bc143
228.369523,203,Indwelling catheter,Urinary System,#eb7408
2699.148846,13,Laminectomy excision intervertebral disc,Nervous System,#31849a
100.586978,4234,Microscopic examination (bacterial smear culture toxicology),Diagnostic Procedures,#c456a0
364.261067,20916,Other diagnostic procedures (interview evaluation consultation),Evaluation and Therapeutic Procedures,#4aabc5
617.385740,18,Other gastrointestinal diagnostic procedures,Digestive System,#e44145
268.083240,36,Other non-OR gastrointestinal therapeutic procedures,Digestive System,#e44145
359.673586,384,Other non-OR therapeutic cardiovascular procedures,Cardiovascular System,#c3cacb
4742.869285,14,Other OR procedures on vessels of head and neck,Cardiovascular System,#c3cacb
1410.469230,13,Other OR therapeutic procedures of urinary tract,Urinary System,#eb7408
1801.008269,26,Other therapeutic procedures on muscles and tendons,Musculoskeletal System,#fece34
1336.943440,31,Other therapeutic procedures hemic and lymphatic system,Hemic and Lymphatic System,#b7dde8
1460.210750,40,Percutaneous transluminal coronary angioplasty (PTCA),Cardiovascular System,#c3cacb
528.670000,20,Swan-Ganz catheterization for monitoring,Diagnostic Procedures,#c456a0
